index,dateSold,propertyType,lotAreaValue,address,priceChange,zestimate,imgSrc,price,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,variableData.text,variableData.type,listingSubType.is_FSBA,listingSubType.is_openHouse,variableData,unit,cluster,subcluster,residual
36,,CONDO,665.0,"54 Appleton St #1, Boston, MA 02116",,725003.0,https://photos.zillowstatic.com/fp/8f157faf65940c1314bc3c3aebf658b3-p_e.jpg,725000,1,,-71.072235,42.345623,FOR_SALE,59175844,3200.0,-1,1,665,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 1,4.0,1.0,657838.6548561442
37,,CONDO,,"30 Cross St #2, Charlestown, MA 02129",,1135010.0,https://photos.zillowstatic.com/fp/6dda07e6d3d83a1e370e967eb73db425-p_e.jpg,1135000,2,,-71.06248,42.377235,FOR_SALE,90136249,3489.0,-1,2,1426,USA,USD,,1.0,Open: Fri. 12-1pm,OPEN_HOUSE,1,1.0,,# 2,5.0,1.0,-296384.1443302727
38,,CONDO,,"362 Commonwealth Ave APT 6F, Boston, MA 02115",,783090.0,https://photos.zillowstatic.com/fp/1403e7c1e31d2c55526b0d1ddfc48333-p_e.jpg,790000,1,,-71.08812,42.348724,FOR_SALE,59177354,3194.0,-1,1,701,USA,USD,,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,Apt 6F,4.0,1.0,611632.7742964444
39,,SINGLE_FAMILY,4001.0,"137-137A Lasell St, West Roxbury, MA 02132",,,https://photos.zillowstatic.com/fp/b75bff081375e5742c7f46cf7f143697-p_e.jpg,779000,4,,-71.1663,42.289295,FOR_SALE,2058283852,,-1,2,2436,USA,USD,sqft,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-241881.15976925858
0,,CONDO,0.28131313131313,"340 W 2nd St #17, Boston, MA 02127",,1117243.0,https://photos.zillowstatic.com/fp/601ae1c0ae6efc66e59b41d5dc94e9f3-p_e.jpg,1199000,2,,-71.04675,42.33879,FOR_SALE,2079088161,4600.0,-1,2,1241,USA,USD,acres,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,# 17,1.0,1.0,64741.87367905956
1,,SINGLE_FAMILY,6750.0,"41 Wycliff Ave, West Roxbury, MA 02132",,715580.0,https://photos.zillowstatic.com/fp/66e9c6b3952834f699ab025d3bd0f5bc-p_e.jpg,695000,4,,-71.16907,42.276726,FOR_SALE,59159279,4200.0,-1,2,1648,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-102303.77084103669
2,,SINGLE_FAMILY,6000.0,"16 Sturges Rd, West Roxbury, MA 02132",,899008.0,https://photos.zillowstatic.com/fp/616d7fd42180d31e9d11c349f9dead1b-p_e.jpg,899000,3,,-71.15501,42.280716,FOR_SALE,59157329,3499.0,-1,2,2160,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-43572.32811419619
3,,SINGLE_FAMILY,794.0,"17 Wall St, Charlestown, MA 02129",,1217683.0,https://photos.zillowstatic.com/fp/887b59cb7ebac5cd2f02944f606d08a8-p_e.jpg,1195000,3,,-71.06596,42.379917,FOR_SALE,59100628,4200.0,-1,2,1612,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,,5.0,1.0,-485597.87444292614
4,,SINGLE_FAMILY,503.0,"1 N Short St, Charlestown, MA 02129",,,https://photos.zillowstatic.com/fp/eceaa20001d35774a627bc16ce541741-p_e.jpg,699000,2,,-71.07038,42.38326,FOR_SALE,2058299407,,-1,1,810,USA,USD,sqft,1.0,Open: Sat. 11am-12pm,OPEN_HOUSE,1,1.0,,,5.0,1.0,92968.85432238597
5,,CONDO,1306.8,"1 Scott Pl #8, South Boston, MA 02127",,669900.0,https://photos.zillowstatic.com/fp/90dfded6d9b8c8bbea7f65352c20b2f4-p_e.jpg,669900,2,,-71.03179,42.334328,FOR_SALE,59148333,4459.0,-1,2,1318,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 8,1.0,1.0,-586447.7492665169
6,,SINGLE_FAMILY,5734.0,"15 Caryll St, Mattapan, MA 02126",,539011.0,https://photos.zillowstatic.com/fp/4c934d538b0dae4237126f3317d1643a-p_e.jpg,529999,2,,-71.07693,42.27595,FOR_SALE,59136619,3354.0,-1,2,1236,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,3229.7879888423486
7,,SINGLE_FAMILY,875.0,"13 Haynes St, East Boston, MA 02128",,969006.0,https://photos.zillowstatic.com/fp/17a0ccd780cd0c99edcec21e094fc24f-p_e.jpg,969000,3,,-71.03841,42.366737,FOR_SALE,59121318,4400.0,-1,3,1336,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,3.0,1.0,218173.60286197672
8,,MULTI_FAMILY,0.26014692378329,"21 Melville Ave, Dorchester, MA 02124",,,https://photos.zillowstatic.com/fp/56425d9980371e5161afe53c51063756-p_e.jpg,1250000,5,,-71.06896,42.293724,FOR_SALE,59107434,2582.0,-1,2,3415,USA,USD,acres,1.0,Open: Sat. 11:30am-1pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,216152.34352708026
9,,CONDO,940.0,"58 Percival St #2, Dorchester, MA 02122",,426185.0,https://photos.zillowstatic.com/fp/29cbf494171d9ea3b81c42fa5b3cb690-p_e.jpg,424900,2,,-71.063126,42.305626,FOR_SALE,71497242,2600.0,-1,1,940,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,# 2,2.0,1.0,-100781.44034672016
10,,CONDO,,"2 Sutherland Rd APT 02, Brighton, MA 02135",,,https://photos.zillowstatic.com/fp/6a27a8082c25b2c90d1f2bc27fe80ad2-p_e.jpg,449000,2,,-71.150925,42.33661,FOR_SALE,2097755383,2300.0,-1,1,680,USA,USD,,1.0,Open: Sat. 1:30-3pm,OPEN_HOUSE,1,1.0,,Apt 02,10.0,1.0,-69204.85370495095
11,,SINGLE_FAMILY,6250.0,"847 E 5th St, South Boston, MA 02127",,3517705.0,https://photos.zillowstatic.com/fp/dd2b5a643aed0fa21782cccafe922eef-p_e.jpg,3700000,5,,-71.02638,42.33398,FOR_SALE,59149888,6754.0,-1,5,2677,USA,USD,sqft,1.0,Open: Sun. 12-2pm,OPEN_HOUSE,1,1.0,,,1.0,1.0,288849.68471999746
12,,MULTI_FAMILY,5573.0,"50 Perrin St, Roxbury, MA 02119",,1266666.0,https://photos.zillowstatic.com/fp/ecf6a2f5be5377bc292cc864573a53a2-p_e.jpg,1330000,8,,-71.07892,42.32169,FOR_SALE,59185817,5463.0,-1,7,4100,USA,USD,sqft,1.0,Open: Sun. 2-4pm,OPEN_HOUSE,1,1.0,,,2.0,1.0,50914.65352954995
13,,MULTI_FAMILY,3250.0,"114 White St, East Boston, MA 02128",,1235000.0,https://photos.zillowstatic.com/fp/d2964eefb513506942be971c7a85c664-p_e.jpg,1299000,9,,-71.03236,42.380756,FOR_SALE,59121924,3945.0,-1,6,4068,USA,USD,sqft,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,,3.0,1.0,38275.085638592485
14,,CONDO,1380.0,"603 Tremont St #4, Boston, MA 02118",,1630872.0,https://photos.zillowstatic.com/fp/e4cde495d459eed206a20254d2b08be8-p_e.jpg,1650000,3,,-71.07358,42.34319,FOR_SALE,59182615,6597.0,-1,2,1380,USA,USD,sqft,1.0,Open: Sun. 11:30am-1pm,OPEN_HOUSE,1,1.0,,# 4,4.0,1.0,-625833.6951490045
15,,SINGLE_FAMILY,1272.0,"42 Green St, Charlestown, MA 02129",,1934623.0,https://photos.zillowstatic.com/fp/5942bb535fb9667114163041585bca9d-p_e.jpg,2000000,3,,-71.06281,42.37716,FOR_SALE,59100936,7143.0,-1,5,2569,USA,USD,sqft,1.0,Open: Sun. 11:15am-12:45pm,OPEN_HOUSE,1,1.0,,,5.0,1.0,-962842.711635449
16,,SINGLE_FAMILY,3980.0,"96 Bernard St, Dorchester, MA 02124",,699987.0,https://photos.zillowstatic.com/fp/f0fc040a8ff373a6e4d00346d536707c-p_e.jpg,699900,5,,-71.07933,42.292667,FOR_SALE,59114095,4787.0,-1,2,2200,USA,USD,sqft,1.0,Open: Sun. 1-3pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,-51203.136041051475
17,,CONDO,1040.0,"17 Woodside Ave #1, Jamaica Plain, MA 02130",,619798.0,https://photos.zillowstatic.com/fp/399375262ff96e19f6a3268ce2f1b827-p_e.jpg,599000,2,,-71.10317,42.309635,FOR_SALE,120922819,2650.0,-1,1,1040,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 1,11.0,1.0,-40828.3013498619
18,,TOWNHOUSE,,"140 Mount Vernon St APT 8, Boston, MA 02108",,2223849.0,https://photos.zillowstatic.com/fp/4a09a951697a7022090a6e4eecf6e49c-p_e.jpg,2299000,2,,-71.0711,42.35741,FOR_SALE,59212793,7259.0,1,2,1385,USA,USD,,1.0,,,1,,,Apt 8,5.0,1.0,922550.0649956348
19,,CONDO,,"43 Wachusett St #2, Jamaica Plain, MA 02130",,625988.0,https://photos.zillowstatic.com/fp/e394113c982e983833da2e5b8facaaa0-p_e.jpg,599000,2,,-71.113365,42.29649,FOR_SALE,60112527,5394.0,-1,1,983,USA,USD,,1.0,Open: Sun. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 2,12.0,1.0,88446.9249266733
20,,CONDO,,"140 Shawmut Ave UNIT 7A, Boston, MA 02118",,,https://photos.zillowstatic.com/fp/22d5b3e2e8f71fda7f4a6905736a73a4-p_e.jpg,2999000,4,,-71.06589,42.345936,FOR_SALE,2079069975,12999.0,2,4,2596,USA,USD,,1.0,,,1,,,Unit 7A,4.0,1.0,-3033121.216276643
21,,SINGLE_FAMILY,1540.0,"156 W Brookline St, Boston, MA 02118",,5922326.0,https://photos.zillowstatic.com/fp/51110ce540033ae39301fd5be86c79c9-p_e.jpg,6395000,4,,-71.0759,42.342274,FOR_SALE,59182794,18558.0,2,5,3806,USA,USD,sqft,1.0,,,1,,,,4.0,1.0,-3374874.4239776637
22,,CONDO,,"113 Chestnut Ave #3, Boston, MA 02130",,711032.0,https://photos.zillowstatic.com/fp/a1be218075cf10fd1d7a705d0b5f8af3-p_e.jpg,699000,2,,-71.10545,42.319206,FOR_SALE,90138630,3200.0,-1,2,1000,USA,USD,,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,# 3,11.0,1.0,80362.57001022063
23,,CONDO,,"371-1 Metropolitan Ave, Roslindale, MA 02131",,,https://photos.zillowstatic.com/fp/14082ae46aa71a5d9ceefc03b731c791-p_e.jpg,579000,3,,-71.127205,42.277378,FOR_SALE,2058929329,,30,2,1173,USA,USD,,1.0,,,1,,,,12.0,1.0,-9214.749096942833
24,,MULTI_FAMILY,0.28776400367309,"43 Sprague St, Hyde Park, MA 02136",,526126.0,https://photos.zillowstatic.com/fp/4315a2e77d0c8355a9047e90d45b64fe-p_e.jpg,499900,3,,-71.13691,42.236237,FOR_SALE,59129339,4164.0,3,2,2105,USA,USD,acres,1.0,,,1,,,,9.0,1.0,-194761.9488498303
25,,CONDO,,"7 Austin St #3, Hyde Park, MA 02136",,,https://photos.zillowstatic.com/fp/fbf6cd5ce980aaba1635d2c60276a71c-p_e.jpg,449000,3,,-71.12624,42.25736,FOR_SALE,2058407988,,9,1,900,USA,USD,,1.0,,,1,,,# 3,9.0,1.0,113916.84130381187
26,,SINGLE_FAMILY,5181.0,"6 Menton St, Mattapan, MA 02126",,,https://photos.zillowstatic.com/fp/055022f0929aa9b4972e5127456e9954-p_e.jpg,1099900,4,,-71.078,42.272682,FOR_SALE,2058286020,,-1,3,3078,USA,USD,sqft,1.0,Open: Sat. 1:30-3:30pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,144476.13232176285
27,,CONDO,,"1 Dalton St APT 4705, Boston, MA 02115",,4160869.0,https://photos.zillowstatic.com/fp/fb13a9e8e8d91368e842e888b784848a-p_e.jpg,4350000,2,,-71.08425,42.344948,FOR_SALE,333605769,15795.0,2,2,1288,USA,USD,,1.0,,,1,,,Apt 4705,4.0,1.0,2358359.1107257837
28,,CONDO,1256.0,"67 Walworth St #2, Roslindale, MA 02131",,548178.0,https://photos.zillowstatic.com/fp/da31efc1d9ae6c347b259926d0a441db-p_e.jpg,522000,3,,-71.13781,42.285206,FOR_SALE,63041798,2863.0,-1,1,1256,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,# 2,12.0,1.0,-100140.63827568037
29,,SINGLE_FAMILY,1393.0,"32 Concord St, Charlestown, MA 02129",,1383308.0,https://photos.zillowstatic.com/fp/3408b17295b3774511f04545b9abf517-p_e.jpg,1399000,3,,-71.06093,42.378056,FOR_SALE,59100974,6140.0,-1,3,2494,USA,USD,sqft,1.0,Open: Sun. 1-2:30pm,OPEN_HOUSE,1,1.0,,,5.0,1.0,-1463353.3043319597
31,,CONDO,,"391 Hyde Park Ave APT 208, Roslindale, MA 02131",,,https://photos.zillowstatic.com/fp/1639158c555799c4f9ce6af9ab3834ac-p_e.jpg,495000,2,,-71.11926,42.287052,FOR_SALE,59141300,2618.0,9,2,1166,USA,USD,,1.0,,,1,,,Apt 208,12.0,1.0,-90353.52952765161
32,,CONDO,820.0,"111 Gainsborough St UNIT 7, Boston, MA 02115",,774052.0,https://photos.zillowstatic.com/fp/ec4f859ea24d0e13db4cc159ef4a3137-p_e.jpg,789000,2,,-71.08954,42.342705,FOR_SALE,59177627,3499.0,-1,1,820,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,Unit 7,4.0,1.0,243035.558001881
33,,MULTI_FAMILY,4500.0,"55 Bernard St, Dorchester, MA 02124",,1070943.0,https://photos.zillowstatic.com/fp/fb71eee665d54bd2db2fd9d8255079c1-p_e.jpg,1100000,8,,-71.0802,42.293507,FOR_SALE,59102099,2470.0,-1,3,3300,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,92914.17056384124
34,,CONDO,852.0,"141 South St #1, Jamaica Plain, MA 02130",,572364.0,https://photos.zillowstatic.com/fp/764c53e844e0daa47c5d9609ee0d1df5-p_e.jpg,545000,2,,-71.114876,42.30526,FOR_SALE,81859686,2695.0,-1,1,852,USA,USD,sqft,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,# 1,11.0,1.0,4768.794042526395
35,,CONDO,,"31 Massachusetts Ave APT B2, Boston, MA 02115",,498066.0,https://photos.zillowstatic.com/fp/fef4daa77a9ad708668ddf8103a4d812-p_e.jpg,498000,1,,-71.089615,42.350266,FOR_SALE,59178538,2879.0,-1,1,480,USA,USD,,1.0,Open: Sat. 1-2pm,OPEN_HOUSE,1,1.0,,Apt B2,4.0,1.0,1002313.3188434904
36,,CONDO,1272.0,"39 Coffey St UNIT 4, Boston, MA 02122",,675000.0,https://photos.zillowstatic.com/fp/e08d60dd67cc25c430e7d33c8e61425f-p_e.jpg,675000,2,,-71.04936,42.28861,FOR_SALE,120937506,3214.0,-1,2,1272,USA,USD,sqft,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,Unit 4,7.0,1.0,139853.1725686388
37,,MULTI_FAMILY,3880.0,"104 Jamaica St, Jamaica Plain, MA 02130",,995009.0,https://photos.zillowstatic.com/fp/f8a43df192420577a90057095a675ce2-p_e.jpg,995000,6,,-71.11651,42.305805,FOR_SALE,59135176,4204.0,-1,2,1843,USA,USD,sqft,1.0,Open: Sun. 12:30-2pm,OPEN_HOUSE,1,1.0,,,11.0,1.0,-70235.04390352056
38,,CONDO,6677.0,"300-302 Chestnut Ave #3, Jamaica Plain, MA 02130",,872558.0,https://photos.zillowstatic.com/fp/45ac99a9876053303037964e37b31212-p_e.jpg,859000,3,,-71.11014,42.31223,FOR_SALE,190073423,3614.0,-1,2,1154,USA,USD,sqft,1.0,Open: Sat. 1-2:30pm,OPEN_HOUSE,1,1.0,,# 3,11.0,1.0,158777.71527390264
39,,SINGLE_FAMILY,689.0,"5 Smith Ct, Boston, MA 02114",,,https://photos.zillowstatic.com/fp/4a1349c329059e643983bcc7dbd947a4-p_e.jpg,2690000,3,,-71.06553,42.36012,FOR_SALE,2063630238,,4,2,1750,USA,USD,sqft,1.0,,,1,,,,5.0,1.0,824501.6161186537
0,,CONDO,962.0,"400-402 Blue Hill Ave UNIT B3, Dorchester, MA 02121",,279467.0,https://photos.zillowstatic.com/fp/63322693ad9e9c988bd823139e1626dc-p_e.jpg,279405,2,,-71.08106,42.311,FOR_SALE,2067560178,2999.0,3,2,962,USA,USD,sqft,1.0,,,1,,,Unit B3,2.0,1.0,-251521.65741467022
1,,MULTI_FAMILY,0.28776400367309,"43 Sprague St, Hyde Park, MA 02136",,525946.0,https://photos.zillowstatic.com/fp/4315a2e77d0c8355a9047e90d45b64fe-p_e.jpg,499900,3,,-71.13691,42.236237,FOR_SALE,59129339,3499.0,6,2,2105,USA,USD,acres,1.0,,,1,,,,9.0,1.0,-194761.9488498303
2,,CONDO,1060.0,"257 Northampton St #104, Boston, MA 02118",,,https://photos.zillowstatic.com/fp/3f4d62ecffc4197a4181e8c3be3da022-p_e.jpg,338226,1,,-71.08165,42.339527,FOR_SALE,2061732497,,15,1,1060,USA,USD,sqft,1.0,,,1,,,# 104,4.0,1.0,-949110.979062784
4,,SINGLE_FAMILY,6750.0,"41 Wycliff Ave, West Roxbury, MA 02132",,701984.0,https://photos.zillowstatic.com/fp/66e9c6b3952834f699ab025d3bd0f5bc-p_e.jpg,695000,4,,-71.16907,42.276726,FOR_SALE,59159279,4200.0,5,2,1648,USA,USD,sqft,1.0,,,1,,,,8.0,1.0,-102303.77084103669
5,,MULTI_FAMILY,8530.0,"240 Humboldt Ave, Boston, MA 02121",,775001.0,https://photos.zillowstatic.com/fp/640c78089f53b575870be155f5b157a8-p_e.jpg,775000,8,,-71.09043,42.311462,FOR_SALE,59161782,7800.0,6,4,3850,USA,USD,sqft,1.0,,,1,,,,2.0,1.0,-444480.6070619272
6,,CONDO,978.0,"6-8 Edwin St #3, Dorchester Center, MA 02124",,,https://photos.zillowstatic.com/fp/2ea3127d3f078d34c683a30db04edbe1-p_e.jpg,409000,3,,-71.06299,42.28896,FOR_SALE,2058199720,,1,1,978,USA,USD,sqft,1.0,,,1,,,# 3,7.0,1.0,-57729.634833032556
7,,SINGLE_FAMILY,3980.0,"96 Bernard St, Dorchester, MA 02124",,699906.0,https://photos.zillowstatic.com/fp/f0fc040a8ff373a6e4d00346d536707c-p_e.jpg,699900,5,,-71.07933,42.292667,FOR_SALE,59114095,4400.0,-1,2,2200,USA,USD,sqft,1.0,3D Tour,3D_HOME,1,,,,7.0,1.0,-51203.136041051475
8,,SINGLE_FAMILY,0.33608815426997,"36 Fremont St, Mattapan, MA 02126",,750005.0,https://photos.zillowstatic.com/fp/7cbbb157af021902784329e2918445df-p_e.jpg,750000,4,,-71.09179,42.271038,FOR_SALE,59138041,4200.0,1,3,2570,USA,USD,acres,1.0,,,1,,,,6.0,1.0,90881.61449351674
9,,CONDO,,"633 River St APT 3L, Mattapan, MA 02126",,399003.0,https://photos.zillowstatic.com/fp/6676e3b9c623bc435654a4de26555c96-p_e.jpg,399000,3,,-71.09912,42.265305,FOR_SALE,81380168,2878.0,-1,1,787,USA,USD,,1.0,3D Tour,3D_HOME,1,,,Apt 3L,6.0,1.0,-88082.43013523117
10,,SINGLE_FAMILY,503.0,"1 N Short St, Charlestown, MA 02129",,,https://photos.zillowstatic.com/fp/eceaa20001d35774a627bc16ce541741-p_e.jpg,699000,2,,-71.07038,42.38326,FOR_SALE,2058299407,,7,1,810,USA,USD,sqft,1.0,,,1,,,,5.0,1.0,92968.85432238597
11,,CONDO,934.0,"1986 Commonwealth Ave APT 9, Brighton, MA 02135",,619730.0,https://photos.zillowstatic.com/fp/0842224f21a57d0f3b43916384371fa4-p_e.jpg,599000,2,,-71.157875,42.33926,FOR_SALE,59095188,2900.0,4,1,934,USA,USD,sqft,1.0,,,1,,,Apt 9,10.0,1.0,-22872.426710797008
12,,CONDO,743.0,"699 Hyde Park Ave APT 5, Roslindale, MA 02131",,400114.0,https://photos.zillowstatic.com/fp/1bedf4717d34b91de1e71fa19d1f2c4e-p_e.jpg,389000,2,,-71.12004,42.276474,FOR_SALE,71495300,2350.0,5,1,743,USA,USD,sqft,1.0,,,1,,,Apt 5,12.0,1.0,-23454.11841191695
13,,SINGLE_FAMILY,5450.0,"411 Pond St, Jamaica Plain, MA 02130",,1195010.0,https://photos.zillowstatic.com/fp/67bacd5b8dd66f06e8ea630bf300b416-p_e.jpg,1195000,3,,-71.129845,42.30971,FOR_SALE,59135003,4495.0,6,3,2414,USA,USD,sqft,1.0,,,1,,,,12.0,1.0,99531.89583301754
14,,SINGLE_FAMILY,1546.0,"59 Hano St, Allston, MA 02134",,826317.0,https://photos.zillowstatic.com/fp/f4394fd7ce4d8bec360ca40f56137731-p_e.jpg,818000,3,,-71.13772,42.355335,FOR_SALE,59086909,4300.0,15,3,1496,USA,USD,sqft,1.0,,,1,,,,10.0,1.0,-33247.135487511754
15,,CONDO,,"473 Beacon St APT 9, Boston, MA 02115",,595003.0,https://photos.zillowstatic.com/fp/ac10591ade2d35cf90aedc5bd8fd82e2-p_e.jpg,595000,1,,-71.088615,42.350815,FOR_SALE,59169254,2896.0,-1,1,535,USA,USD,,1.0,Open: Tue. 3:30-4:30pm,OPEN_HOUSE,1,1.0,,Apt 9,4.0,1.0,929415.4457661714
16,,SINGLE_FAMILY,0.0,"167 W Brookline St, Boston, MA 02118",,6013375.0,https://photos.zillowstatic.com/fp/a35896cca1ca1d7ab5b460be8c88ad93-p_e.jpg,6325000,4,,-71.07575,42.34275,FOR_SALE,59182662,19585.0,1,4,4135,USA,USD,sqft,1.0,,,1,,,,4.0,1.0,-4461172.61020381
17,,CONDO,4876.0,"20-20 Glen Rd #3, Jamaica Plain, MA 02130",,,https://photos.zillowstatic.com/fp/650e2cdbc1ec0298be04ec7d03ac7fc8-p_e.jpg,525000,2,,-71.10354,42.309353,FOR_SALE,2058275551,,6,1,878,USA,USD,sqft,1.0,,,1,,,# 3,11.0,1.0,-29005.272341527278
18,,CONDO,828.0,"147-147 Centre St #151A, Roxbury, MA 02119",,,https://photos.zillowstatic.com/fp/f07060f39dbe64e27dac1b00d66542d5-p_e.jpg,429000,2,,-71.09679,42.326096,FOR_SALE,2058225827,,-1,1,828,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 151A,11.0,1.0,-98516.68314142409
19,,SINGLE_FAMILY,6000.0,"16 Sturges Rd, West Roxbury, MA 02132",,899008.0,https://photos.zillowstatic.com/fp/616d7fd42180d31e9d11c349f9dead1b-p_e.jpg,899000,3,,-71.15501,42.280716,FOR_SALE,59157329,3549.0,-1,2,2160,USA,USD,sqft,1.0,3D Tour,3D_HOME,1,,,,8.0,1.0,-43572.32811419619
20,,CONDO,2812.0,"305 Sumner St #1, East Boston, MA 02128",,619004.0,https://photos.zillowstatic.com/fp/f59088443de622c2f1fe95fe5db5abb9-p_e.jpg,619000,2,,-71.03664,42.367397,FOR_SALE,239892897,2700.0,-1,1,784,USA,USD,sqft,1.0,Open: Fri. 4:30-6pm,OPEN_HOUSE,1,1.0,,# 1,3.0,1.0,-28801.513716607355
21,,SINGLE_FAMILY,9323.0,"41 Messinger St, Mattapan, MA 02126",,510003.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=42.27360153198242,-71.09923553466797&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=N4m-G1Y_nzd-bTKIrbx-OlZ8PC8=",510000,3,,-71.099236,42.2736,FOR_SALE,59138155,3395.0,1,2,1008,USA,USD,sqft,,,,1,,,,6.0,1.0,1593.9881838677102
22,,CONDO,,"51 Revere St APT 2, Boston, MA 02114",,840426.0,https://photos.zillowstatic.com/fp/cdaeda5dcdb3db7686920597b8d0e1aa-p_e.jpg,855000,1,,-71.0683,42.359665,FOR_SALE,59173803,3499.0,3,1,857,USA,USD,,1.0,,,1,,,Apt 2,5.0,1.0,185995.4924121995
23,,CONDO,852.0,"141 South St #1, Jamaica Plain, MA 02130",,557954.0,https://photos.zillowstatic.com/fp/764c53e844e0daa47c5d9609ee0d1df5-p_e.jpg,545000,2,,-71.114876,42.30526,FOR_SALE,81859686,2695.0,7,1,852,USA,USD,sqft,1.0,,,1,,,# 1,11.0,1.0,4768.794042526395
24,,SINGLE_FAMILY,5181.0,"6 Menton St, Mattapan, MA 02126",,,https://photos.zillowstatic.com/fp/055022f0929aa9b4972e5127456e9954-p_e.jpg,1099900,4,,-71.078,42.272682,FOR_SALE,2058286020,,6,3,3078,USA,USD,sqft,1.0,,,1,,,,7.0,1.0,144476.13232176285
25,,CONDO,,"167 Beacon St APT 6, Boston, MA 02116",,688921.0,https://photos.zillowstatic.com/fp/15e8027f93a212b0467ee7516e4b7344-p_e.jpg,695000,1,,-71.075485,42.354343,FOR_SALE,59171980,2999.0,5,1,510,USA,USD,,1.0,,,1,,,Apt 6,5.0,1.0,490926.4835363431
26,,CONDO,,"12 Walnut St #1, Boston, MA 02108",,659000.0,https://photos.zillowstatic.com/fp/492084dada6d923b22d51ae004afd310-p_e.jpg,659000,1,,-71.06597,42.35795,FOR_SALE,59174424,3300.0,5,1,646,USA,USD,,1.0,,,1,,,# 1,5.0,1.0,272705.69162601593
27,,CONDO,0.0,"10 Linda Ln APT 2, Boston, MA 02125",,437503.0,https://photos.zillowstatic.com/fp/fa390c1bba0b1e4e8cdd3dbfd213b9b6-p_e.jpg,437500,2,,-71.05066,42.312096,FOR_SALE,59101936,2550.0,4,1,793,USA,USD,sqft,1.0,,,1,,,Apt 2,2.0,1.0,-53133.853574508685
28,,SINGLE_FAMILY,4946.0,"21 Glenhaven Rd, West Roxbury, MA 02132",,760821.0,https://photos.zillowstatic.com/fp/d899a121f233f7a3d3646e5ccc5e5243-p_e.jpg,749000,3,,-71.16347,42.271156,FOR_SALE,59159830,3476.0,-1,2,1402,USA,USD,sqft,1.0,3D Tour,3D_HOME,1,,,,8.0,1.0,21493.23128630151
29,,CONDO,940.0,"58 Percival St #2, Dorchester, MA 02122",,427244.0,https://photos.zillowstatic.com/fp/29cbf494171d9ea3b81c42fa5b3cb690-p_e.jpg,424900,2,,-71.063126,42.305626,FOR_SALE,71497242,2700.0,-1,1,940,USA,USD,sqft,1.0,3D Tour,3D_HOME,1,,,# 2,2.0,1.0,-100781.44034672016
30,,SINGLE_FAMILY,3913.0,"67 Williams Ave, Hyde Park, MA 02136",,493276.0,https://photos.zillowstatic.com/fp/a8fa2b8deb3b8d26bc4e0e437d2b9116-p_e.jpg,470000,3,,-71.118126,42.248753,FOR_SALE,59127522,2900.0,13,1,1554,USA,USD,sqft,1.0,,,1,,,,9.0,1.0,-60240.44397459645
31,,SINGLE_FAMILY,3997.0,"20 Edson St, Dorchester, MA 02124",45100,540376.0,https://photos.zillowstatic.com/fp/7bf1a20215919dd352fe432ec3388391-p_e.jpg,535000,6,,-71.07768,42.286964,FOR_SALE,59110558,4400.0,-1,2,2062,USA,USD,sqft,1.0,3D Tour,3D_HOME,1,,,,7.0,1.0,-183988.94359693816
